anime_id,title,title_english,image_url,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,licensor,studio,genre,duration_min,aired_from_year,numberofviews
11013,Inu x Boku SS,Inu X Boku Secret Service,https://myanimelist.cdn-dena.com/images/anime/12/35893.jpg,Manga,12,Finished Airing,f,"Jan 13, 2012 to Mar 30, 2012","{'from': '2012-01-13', 'to': '2012-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,7.63,139250,1274,231,283882,2809,Winter 2012,Fridays at Unknown,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Inu x Boku SS Production Partners",Sentai Filmworks,David Production,"Comedy, Supernatural, Romance, Shounen",24,2012.0,6268
2104,Seto no Hanayome,My Bride is a Mermaid,https://myanimelist.cdn-dena.com/images/anime/13/58383.jpg,Manga,26,Finished Airing,f,"Apr 2, 2007 to Oct 1, 2007","{'from': '2007-04-02', 'to': '2007-10-01'}",24 min. per ep.,PG-13 - Teens 13 or older,7.89,91206,727,366,204003,2579,Spring 2007,Unknown,"TV Tokyo, AIC, Square Enix, Sotsu",Funimation,Gonzo,"Comedy, Parody, Romance, School, Shounen",24,2007.0,5620
5262,Shugo Chara!! Doki,Shugo Chara!! Doki,https://myanimelist.cdn-dena.com/images/anime/11/10645.jpg,Manga,51,Finished Airing,f,"Oct 4, 2008 to Sep 25, 2009","{'from': '2008-10-04', 'to': '2009-09-25'}",24 min. per ep.,PG - Children,7.55,37129,1508,1173,70127,802,Fall 2008,Unknown,"TV Tokyo, Sotsu",,Satelight,"Comedy, Magic, School, Shoujo",24,2008.0,2211
721,Princess Tutu,Princess Tutu,https://myanimelist.cdn-dena.com/images/anime/13/32209.jpg,Original,38,Finished Airing,f,"Aug 16, 2002 to May 23, 2003","{'from': '2002-08-16', 'to': '2003-05-23'}",16 min. per ep.,PG-13 - Teens 13 or older,8.21,36501,307,916,93312,3344,Summer 2002,Fridays at Unknown,"Memory-Tech, GANSIS, Marvelous AQL",ADV Films,Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy",16,2002.0,2089
12365,Bakuman. 3rd Season,Bakuman.,https://myanimelist.cdn-dena.com/images/anime/6/41845.jpg,Manga,25,Finished Airing,f,"Oct 6, 2012 to Mar 30, 2013","{'from': '2012-10-06', 'to': '2013-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,8.67,107767,50,426,182765,2082,Fall 2012,Unknown,"NHK, Shueisha",,J.C.Staff,"Comedy, Drama, Romance, Shounen",24,2012.0,4726
6586,Yume-iro Pâtissière,,https://myanimelist.cdn-dena.com/images/anime/12/21674.jpg,Manga,50,Finished Airing,f,"Oct 4, 2009 to Sep 26, 2010","{'from': '2009-10-04', 'to': '2010-09-26'}",24 min. per ep.,G - All Ages,8.03,21618,526,1630,45625,826,Fall 2009,Unknown,"Yomiuri Telecasting, DAX Production, Shueisha",,"Studio Pierrot, Studio Hibari","Kids, School, Shoujo",24,2009.0,1037
178,Ultra Maniac,Ultramaniac - Magical Girl,https://myanimelist.cdn-dena.com/images/anime/8/53571.jpg,Manga,26,Finished Airing,f,"May 20, 2003 to Nov 11, 2003","{'from': '2003-05-20', 'to': '2003-11-11'}",24 min. per ep.,G - All Ages,7.26,9663,2594,2490,22778,122,Spring 2003,Tuesdays at 22:00 (JST),"WAO World, Studio Jack","Discotek Media, Geneon Entertainment USA",Production Reed,"Magic, Comedy, Romance, School, Shoujo",24,2003.0,823
2787,Shakugan no Shana II (Second),Shakugan no Shana: Season II,https://myanimelist.cdn-dena.com/images/anime/10/18669.jpg,Light novel,24,Finished Airing,f,"Oct 5, 2007 to Mar 28, 2008","{'from': '2007-10-05', 'to': '2008-03-28'}",24 min. per ep.,PG-13 - Teens 13 or older,7.72,126085,1066,332,220591,1075,Fall 2007,Fridays at 01:25 (JST),"Geneon Universal Entertainment, ASCII Media Works",Funimation,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural",24,2007.0,7754
4477,Nodame Cantabile: Paris-hen,,https://myanimelist.cdn-dena.com/images/anime/4/11918.jpg,Manga,11,Finished Airing,f,"Oct 10, 2008 to Dec 19, 2008","{'from': '2008-10-10', 'to': '2008-12-19'}",23 min. per ep.,PG-13 - Teens 13 or older,8.24,53908,281,988,85660,282,Fall 2008,Fridays at 00:45 (JST),"Fuji TV, Asmik Ace Entertainment, Sony Music Entertainment",,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei",23,2008.0,3929
853,Ouran Koukou Host Club,Ouran High School Host Club,https://myanimelist.cdn-dena.com/images/anime/2/71992.jpg,Manga,26,Finished Airing,f,"Apr 5, 2006 to Sep 27, 2006","{'from': '2006-04-05', 'to': '2006-09-27'}",23 min. per ep.,PG-13 - Teens 13 or older,8.34,335137,205,69,538843,24072,Spring 2006,Wednesdays at 00:50 (JST),"VAP, Hakusensha, Nippon Television Network",Funimation,Bones,"Comedy, Harem, Romance, School, Shoujo",23,2006.0,14436
